45,234.8,64.24,1.227
25,100.2,35.25,0.834
34,207.7,40.03,6.175
41,163.5,58.1,0.547
72,312.6,64.05,0.401
26,122.8,46.42,1.174
58,266.5,68.93,8.389
49,160.9,46.24,2.54
38,235.5,62.26,2.888
22,125.1,39.81,10.808
37,250.1,67.91,2.844
41,246,42.36,0.363
14,77.5,21.01,7.073
47,183.3,62.11,4.086
27,99.6,47.24,1.752
41,193.3,64.98,1.076
50,234.6,59.77,0.884
25,151.7,36.2,1.929
37,150.9,58.38,0.602
50,259.9,97.87,0.928
59,266.9,83.75,0.215
63,244.1,71.48,0.919
91,430.7,76.54,0.707
62,285.4,78.07,4.757
37,168.4,43.52,17.736
51,320.7,64.84,9.453
23,128.4,43.47,9.616
80,332.9,102.55,5.515
62,284.5,79.5,4.541
59,263.9,93.74,6.16
26,133.3,61.88,0.669
49,242.8,36.98,6.979
32,140.5,28.76,0.331
37,153.3,39.06,5.06
32,164.5,27.1,0.574
23,160.7,32.92,0.466
25,120.2,35.22,1.013
39,154.6,54.2,0.283
93,370.2,96.43,2.049
55,227.1,53.73,10.582
41,180.6,42.79,1.376
57,274.8,79.42,4.207
48,216.1,53.3,2.55
53,215.2,44.07,12.316
14,70.6,26.02,1.577
23,93.6,37.99,3.104
34,142.3,42.27,81.022
45,164.1,66.26,11.162
65,261.2,75.43,0.493
37,147.4,46.99,10.728
68,261.5,72.33,0.5
52,224.8,69.3,2.03
66,235.3,64.41,3.087
46,209.3,43.33,7.375
30,156.4,41.44,1.102
14,64.7,26.85,4.481
46,256.4,64.58,28.439
59,200.3,66.37,0.115
37,165.7,44.16,0.398
32,122.1,52.45,12.008
37,165.8,47.86,1.287
21,88.3,42.26,1.889
33,146,45.01,7.997
39,163.9,51.32,56.134
44,166.5,53.86,0.284
42,137.4,42.36,0.512
55,271.7,50.63,1.781
45,293.1,44.14,2.002
79,488.3,125.86,2.348
49,206.2,56.41,1.252
79,331.4,101.75,12.461
29,131.3,45.67,0.511
53,243.6,99.59,2.716
38,153.7,63.12,8.827
55,177.5,46.85,3.511
55,244,58.58,0.787
17,73.6,37.07,2.396
17,65.3,31.79,1.242
15,119.7,47.49,0.814
51,222,59.96,15.224
72,332,51.55,1.487
37,213.5,54.67,0.84
59,196.6,53.17,0.644
54,259.5,63.64,2.399
22,124.6,46.43,0.212
51,234,65.47,0.169
28,143.6,44.53,2.671
73,286.4,72.92,0.289
42,223.4,51.91,1.098
75,278.6,76.22,6.4
35,145.4,23.46,7.975
55,277.4,70.07,20.286
42,260,68.33,0.44
46,196.7,40.79,7.23
24,110.5,25.2,3.258
55,264.7,74.58,13.089
42,235,36.68,2.783
21,128.1,22.4,6.793
31,157.2,53.15,11.048
48,197,49.53,1.079
23,133,50.03,1.002
62,270.2,50.04,0.272
30,188.2,37.2,1.754
79,263.1,85.5,3.409
22,114.7,40.02,0.656
47,268.4,64.68,2.228
13,66.7,26.26,1.172
29,127.8,39.51,1.047
31,130.4,38.28,6.437
51,220.3,68.42,6.805
62,262.4,62.32,11.197
49,228.6,65.7,0.393
36,146.8,63.17,1.631
59,265.8,38.08,5.343
59,235.4,104.55,0.287
45,196.7,48.07,35.991
54,211.5,87.88,2.838
51,221,89.68,0.883
24,220.1,25.47,9.416
58,460.4,69,3.521
30,179.4,102.46,2.356
